"","Data","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"204","Groundnut","T1",0.1,0.5,"ICGV06347",14.8600383969568,0
"205","Groundnut","T1",0.1,0.5,"ICGV06420",17.5437985024074,17.5437985024074
"206","Groundnut","T1",0.1,0.5,"ICGV06422",20.3595950858471,20.3595950858471
"207","Groundnut","T1",0.1,0.5,"ICGV06423",18.5053890229777,18.5053890229777
"208","Groundnut","T1",0.1,0.5,"ICGV06424",16.9588892182053,0
"209","Groundnut","T1",0.1,0.5,"ICGV06431",16.2713885192124,16.2713885192124
"210","Groundnut","T1",0.1,0.5,"ICGV07023",11.129327592416,0
"211","Groundnut","T1",0.1,0.5,"ICGV07120",18.2203518389619,18.2203518389619
"212","Groundnut","T1",0.1,0.5,"ICGV07145",17.3925837898825,0
"213","Groundnut","T1",0.1,0.5,"ICGV07148",13.0083467195224,0
"214","Groundnut","T1",0.1,0.5,"ICGV07166",19.1768152296948,19.1768152296948
"215","Groundnut","T1",0.1,0.5,"ICGV07168",10.975375239944,0
"216","Groundnut","T1",0.1,0.5,"ICGV07210",16.8000005292626,0
"217","Groundnut","T1",0.1,0.5,"ICGV07217",16.3981741548104,0
"218","Groundnut","T1",0.1,0.5,"ICGV07220",15.5455108869195,0
"219","Groundnut","T1",0.1,0.5,"ICGV07223",19.2290721080777,19.2290721080777
"220","Groundnut","T1",0.1,0.5,"ICGV07227",16.0918402870508,0
"221","Groundnut","T1",0.1,0.5,"ICGV07235",19.847514518229,19.847514518229
"222","Groundnut","T1",0.1,0.5,"ICGV07246",20.5964272803379,0
"223","Groundnut","T1",0.1,0.5,"ICGV07247",24.7240970148773,24.7240970148773
"224","Groundnut","T1",0.1,0.5,"ICGV07268",14.9233072872314,0
"225","Groundnut","T1",0.1,0.5,"ICGV07273",14.0197088713673,0
"226","Groundnut","T1",0.1,0.5,"ICGV07359",11.4385755497653,0
"227","Groundnut","T1",0.1,0.5,"ICGV07368",8.68797459582445,0
"228","Groundnut","T1",0.1,0.5,"ICGV09112",12.0750639810911,0
"229","Groundnut","T1",0.1,0.5,"ICGV86011",18.1170734617746,18.1170734617746
"230","Groundnut","T1",0.1,0.5,"ICGV86015",12.931968492023,0
"231","Groundnut","T1",0.1,0.5,"ICGV86072",13.499992623062,0
"232","Groundnut","T1",0.1,0.5,"ICGV86143",10.291611746364,0
"233","Groundnut","T1",0.1,0.5,"ICGV86325",14.1116974249067,0
"234","Groundnut","T1",0.1,0.5,"ICGV86352",11.4587055012212,0
"235","Groundnut","T1",0.1,0.5,"ICGV86564",6.88359637524086,0
"236","Groundnut","T1",0.1,0.5,"ICGV86590",12.306405553489,0
"237","Groundnut","T1",0.1,0.5,"ICGV86699",13.573284075984,0
"238","Groundnut","T1",0.1,0.5,"ICGV87160",12.9853062452765,0
"239","Groundnut","T1",0.1,0.5,"ICGV87187",14.6841717930218,0
"240","Groundnut","T1",0.1,0.5,"ICGV87354",8.23027370919123,0
"241","Groundnut","T1",0.1,0.5,"ICGV87378",14.0243453196881,0
"242","Groundnut","T1",0.1,0.5,"ICGV87846",13.2926882380331,0
"243","Groundnut","T1",0.1,0.5,"ICGV87921",16.5375891120361,0
"244","Groundnut","T1",0.1,0.5,"ICGV88145",15.1315899909084,0
"245","Groundnut","T1",0.1,0.5,"ICGV88438",7.71487102181606,0
"246","Groundnut","T1",0.1,0.5,"ICGV89104",10.953028467068,0
"247","Groundnut","T1",0.1,0.5,"ICGV90320",14.6310304148365,0
"248","Groundnut","T1",0.1,0.5,"ICGV91114",10.5617760997422,0
"249","Groundnut","T1",0.1,0.5,"ICGV91116",16.2366675403383,0
"250","Groundnut","T1",0.1,0.5,"ICGV92195",13.2813381334004,0
"251","Groundnut","T1",0.1,0.5,"ICGV92267",14.2654958747641,0
"252","Groundnut","T1",0.1,0.5,"ICGV93216",17.1667597163554,17.1667597163554
"253","Groundnut","T1",0.1,0.5,"ICGV93280",19.6746596159815,19.6746596159815
"254","Groundnut","T1",0.1,0.5,"ICGV93437",14.6287386918419,0
"255","Groundnut","T1",0.1,0.5,"ICGV93470",15.144392357528,0
"256","Groundnut","T1",0.1,0.5,"ICGV93920",18.1773040773391,18.1773040773391
"257","Groundnut","T1",0.1,0.5,"ICGV94118",11.1760982485269,0
"258","Groundnut","T1",0.1,0.5,"ICGV94169",14.2906169827372,0
"259","Groundnut","T1",0.1,0.5,"ICGV94361",12.5864379411604,0
"260","Groundnut","T1",0.1,0.5,"ICGV95058",11.9530177609613,0
"261","Groundnut","T1",0.1,0.5,"ICGV95070",17.5346873177024,17.5346873177024
"262","Groundnut","T1",0.1,0.5,"ICGV95290",14.9849868001343,0
"263","Groundnut","T1",0.1,0.5,"ICGV95377",10.8839484746716,0
"264","Groundnut","T1",0.1,0.5,"ICGV95469",17.7294390627497,0
"265","Groundnut","T1",0.1,0.5,"ICGV96466",11.6981609614442,0
"266","Groundnut","T1",0.1,0.5,"ICGV96468",11.7748932565712,0
"267","Groundnut","T1",0.1,0.5,"ICGV97045",9.13769969293729,0
"268","Groundnut","T1",0.1,0.5,"ICGV97058",11.035652933701,0
"269","Groundnut","T1",0.1,0.5,"ICGV97092",14.7598967333927,0
"270","Groundnut","T1",0.1,0.5,"ICGV97115",13.7755887963552,0
"271","Groundnut","T1",0.1,0.5,"ICGV97116",9.27297479709683,0
"272","Groundnut","T1",0.1,0.5,"ICGV97120",11.0838960691687,0
"273","Groundnut","T1",0.1,0.5,"ICGV97128",17.2682864292697,0
