"","Data","Env","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"313","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1076",539,0
"314","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1087",568,0
"315","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1088",568,0
"316","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1089",621,0
"317","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1090",621,0
"318","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1091",660,660
"319","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1092",660,660
"320","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1093",660,660
"321","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1094",660,660
"322","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1095",599,0
"323","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1096",599,0
"324","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1099",574,0
"325","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1100",574,0
"326","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1101",518,0
"327","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1102",518,0
"328","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1103",612,0
"329","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1104",612,0
"330","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1109",622,0
"331","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1110",622,0
"332","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1111",599,0
"333","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1112",599,0
"334","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1113",599,0
"335","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1114",599,0
"336","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1117",539,0
