"","Data","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"350","Rice_Kim_2020","T1",0.1,2,"A1314",3633.66666666667,0
"351","Rice_Kim_2020","T1",0.1,2,"A1316",3826.66666666667,0
"352","Rice_Kim_2020","T1",0.1,2,"A1317",3789.66666666667,0
"353","Rice_Kim_2020","T1",0.1,2,"A1318",3566.33333333333,0
"354","Rice_Kim_2020","T1",0.1,2,"A1319",3638,0
"355","Rice_Kim_2020","T1",0.1,2,"A1320",3344.66666666667,0
"356","Rice_Kim_2020","T1",0.1,2,"A1321",3484.66666666667,0
"357","Rice_Kim_2020","T1",0.1,2,"B1005",3829.33333333333,0
"358","Rice_Kim_2020","T1",0.1,2,"B1007",4259.66666666667,4259.66666666667
"359","Rice_Kim_2020","T1",0.1,2,"B1008",3924,0
"360","Rice_Kim_2020","T1",0.1,2,"B1009",4189.66666666667,4189.66666666667
"361","Rice_Kim_2020","T1",0.1,2,"B1010",3960.33333333333,3960.33333333333
"362","Rice_Kim_2020","T1",0.1,2,"B1011",3869.66666666667,0
"363","Rice_Kim_2020","T1",0.1,2,"B1012",3703,0
